geo_code,lat,lon
BG001C,42.6977028,23.3217359
CZ001C,50.0874654,14.4212535
DE001C,52.5173885,13.3951309
DE002C,53.550341,10.000654
DE003C,48.1371079,11.5753822
DE004C,50.938361,6.959974
DE005C,50.1106444,8.6820917
DE006C,51.4582235,7.0158171
DE007C,48.7784485,9.1800132
DE008C,51.3406321,12.3747329
DE009C,51.0493286,13.7381437
DE010C,51.5142273,7.4652789
DE011C,51.2254018,6.7763137
DE012C,53.0758196,8.8071646
DE013C,52.3744779,9.7385532
DE014C,49.453872,11.077298
DE080C,51.434999,6.759562
ES004C,37.3886303,-5.9953403
ES005C,41.6521342,-0.8809428
ES006C,36.7213028,-4.4216366
FI001C,60.1738863,24.9320848
HR001C,45.8130967,15.9772795
IT001C,41.8933203,12.4829321
IT004C,45.0677551,7.6824892
IT005C,38.1112268,13.3524434
IT006C,44.40726,8.9338624
LT001C,54.6870458,25.2829111
LV001C,56.9493977,24.1051846
PL001C,52.2333742,21.0711489
PL002C,51.7687323,19.4569911
PL003C,50.0469432,19.9971534
PL004C,51.1263106,16.9781963
PL005C,52.4006632,16.9197326
RO001C,44.4361414,26.102684
UK001C,51.5074456,-0.1277653
UK002C,52.4796992,-1.9026911
UK003C,53.7974185,-1.5437941
UK004C,55.861155,-4.2501687
UK005C,53.7944229,-1.7519186
UK007C,55.9533456,-3.1883749
UK008C,53.4794892,-2.2451148
UK010C,53.3806626,-1.4702278
