geo_code,geo_name,country_code,n_indicators_with_any_data,mean_avail_ratio,median_avail_ratio,pct_indicators_ge_0_7,pct_indicators_ge_0_9,flag_rate,avail_HLTH_RS_BDS1_HBEDT_TOTAL,avail_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,avail_SDG_11_60,avail_SDG_17_60_VHCN_FX_TOTAL,avail_TRNG_LFSE_01_T_Y25-74,avail_URB_CEDUC_TE1026V,avail_URB_CLMA_EC1010V,avail_URB_CLMA_EC1177V,avail_URB_CPOP1_DE1001V,avail_URB_CPOPCB_DE2009V,avail_URB_CTOUR_CR2001V,avail_URB_CTRAN_TT1057I,avail_WHO_NO2,avail_WHO_PM10,avail_WHO_PM25
BE001C,Bruxelles/Brussel (greater city),BE,12,0.9444444444444445,1.0,0.9166666666666666,0.75,0.03571428571428571,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE002C,Antwerpen (greater city),BE,12,0.9537037037037037,1.0,0.9166666666666666,0.75,0.03597122302158273,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE003C,Gent,BE,12,0.9537037037037037,1.0,0.9166666666666666,0.75,0.03597122302158273,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE004C,Charleroi (greater city),BE,12,0.9444444444444445,1.0,0.9166666666666666,0.75,0.03597122302158273,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE005C,Liège (greater city),BE,12,0.9444444444444445,1.0,0.9166666666666666,0.75,0.03676470588235294,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE006C,Brugge,BE,12,0.9537037037037037,1.0,0.9166666666666666,0.75,0.03597122302158273,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE007C,Namur,BE,12,0.9444444444444445,1.0,0.9166666666666666,0.75,0.03676470588235294,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE008C,Leuven,BE,12,0.9537037037037037,1.0,0.9166666666666666,0.75,0.035211267605633804,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE009C,Mons (greater city),BE,12,0.9444444444444445,1.0,0.9166666666666666,0.75,0.03597122302158273,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE010C,Kortrijk (greater city),BE,12,0.9537037037037037,1.0,0.9166666666666666,0.75,0.035211267605633804,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE011C,Oostende (greater city),BE,12,0.9537037037037037,1.0,0.9166666666666666,0.75,0.035211267605633804,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE012C,Mechelen,BE,12,0.9074074074074074,1.0,0.8333333333333334,0.75,0.019801980198019802,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE013C,Mouscron,BE,12,0.8981481481481483,1.0,0.8333333333333334,0.75,0.02,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE014C,La Louvière (greater city),BE,12,0.8981481481481483,1.0,0.8333333333333334,0.75,0.02,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BE015C,Verviers (greater city),BE,12,0.8981481481481483,1.0,0.8333333333333334,0.75,0.02,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,,,
BG001C,Sofia,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG002C,Plovdiv,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG003C,Varna,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG004C,Burgas,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG005C,Pleven,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG006C,Ruse,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG007C,Vidin,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG008C,Stara Zagora,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG009C,Sliven,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG010C,Dobrich,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG011C,Shumen,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG012C,Pernik,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG013C,Yambol,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG014C,Haskovo,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG015C,Pazardzhik,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG016C,Blagoevgrad,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG017C,Veliko Tarnovo,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
BG018C,Vratsa,BG,11,0.9191919191919191,0.8888888888888888,0.9090909090909091,0.45454545454545453,0.05454545454545454,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,,,,
CH001C,Bern (greater city),CH,12,0.8472222222222222,0.8333333333333333,0.9166666666666666,0.3333333333333333,0.3111111111111111,1.0,0.5,1.0,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,,,
CH002C,Zurich (greater city),CH,12,0.8472222222222222,0.8333333333333333,0.9166666666666666,0.3333333333333333,0.3111111111111111,1.0,0.5,1.0,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,,,
CH003C,Geneva (greater city),CH,12,0.8472222222222222,0.8333333333333333,0.9166666666666666,0.3333333333333333,0.3111111111111111,1.0,0.5,1.0,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,,,
CH004C,Basel (greater city),CH,12,0.8472222222222222,0.8333333333333333,0.9166666666666666,0.3333333333333333,0.3111111111111111,1.0,0.5,1.0,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,,,
