geo_code,URB_CEDUC_TE1026V,URB_CLMA_EC1010V,URB_CLMA_EC1177V,URB_CPOP1_DE1001V,URB_CPOPCB_DE2009V,URB_CTRAN_TT1057I
DE021C,5011.166666666667,3417.0,72377.66666666667,163577.57142857142,38866.666666666664,493.40749999999997
DE022C,,2270.0,42935.833333333336,96125.28571428571,21425.0,548.7175
DE023C,42280.0,3268.0,77809.33333333333,147062.42857142858,27000.0,378.88
DE024C,16624.0,2070.0,49545.666666666664,107570.42857142857,25850.0,625.9525
DE025C,32453.0,5645.75,113111.5,210731.57142857142,71233.33333333333,333.23
DE026C,31621.0,2226.6666666666665,82385.83333333333,137274.7142857143,,411.455
DE027C,5369.666666666667,1483.3333333333333,24487.166666666668,63073.57142857143,,438.875
DE028C,4699.833333333333,1374.6666666666667,29429.166666666668,65100.0,11533.333333333334,403.8475
DE029C,736.5,2544.3333333333335,41959.0,143153.0,10600.0,397.555
DE030C,64859.833333333336,5351.25,100732.5,280487.85714285716,90225.0,398.1425
DE031C,26780.833333333332,7958.8,148008.16666666666,296050.85714285716,92200.0,397.2225
DE032C,39596.0,7682.6,152410.66666666666,315051.5714285714,,403.845
DE033C,38783.5,6080.0,155025.16666666666,304362.4285714286,76283.33333333333,371.88
DE034C,8324.0,7626.25,117439.33333333333,268694.85714285716,63783.333333333336,475.3375
DE035C,37180.166666666664,6176.166666666667,108842.5,208025.42857142858,47350.0,386.4525
DE036C,35926.166666666664,7477.8,120238.66666666667,240229.42857142858,49780.0,384.5275
DE037C,31263.833333333332,5315.666666666667,78002.0,169193.42857142858,49850.0,454.19
DE038C,26670.833333333332,3251.0,89963.5,190586.57142857142,25500.0,374.3675
DE039C,15916.0,2362.0,53705.5,111587.28571428571,28800.0,451.64250000000004
DE040C,14266.166666666666,4559.0,96941.66666666667,205178.14285714287,19366.666666666668,367.5525
DE041C,16128.0,3224.0,47421.833333333336,109162.28571428571,24300.0,437.055
DE042C,2672.0,1958.6666666666667,39822.666666666664,101919.85714285714,20666.666666666668,542.6424999999999
DE043C,4974.5,1884.3333333333333,44102.166666666664,104643.14285714286,31933.333333333332,470.195
DE044C,,2729.3333333333335,44879.5,111514.28571428571,19400.0,449.115
DE045C,3982.6666666666665,2529.3333333333335,31410.833333333332,75831.33333333333,19716.666666666668,489.1625
DE046C,10128.833333333334,1620.6666666666667,44627.166666666664,106757.28571428571,27600.0,472.6975
DE047C,27507.833333333332,1090.6666666666667,46214.833333333336,93344.71428571429,24333.333333333332,363.16499999999996
DE048C,6647.166666666667,1535.6666666666667,40720.666666666664,85969.83333333333,27320.0,514.3225
DE049C,9671.0,2407.6666666666665,43695.5,105305.0,28900.0,426.8375
DE050C,22824.5,1362.0,31707.333333333332,76837.16666666667,,384.7875
DE051C,16052.333333333334,1297.3333333333333,38670.833333333336,86046.42857142857,19880.0,385.555
