freq,unit,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc
A,PC,DE,2015,66.7,,,DE,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DE,2016,67.1,,,DE,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DE,2017,67.2,,,DE,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DE,2018,67.1,,,DE,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DE,2019,66.7,e,,DE,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DE,2020,70.3,p,,DE,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DE,2021,71.4,,,DE,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DE,2022,69.6,,,DE,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DE,2023,68.7,,,DE,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DK,2015,47.4,,,DK,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DK,2016,48.3,,,DK,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DK,2017,47.6,,,DK,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DK,2018,49.9,,,DK,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DK,2019,51.5,,,DK,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DK,2020,45.0,,,DK,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DK,2021,49.0,,,DK,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DK,2022,50.3,,,DK,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,DK,2023,46.6,,,DK,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EE,2015,28.3,,,EE,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EE,2016,27.9,,,EE,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EE,2017,28.2,,,EE,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EE,2018,28.0,,,EE,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EE,2019,30.8,,,EE,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EE,2020,28.9,,,EE,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EE,2021,30.3,,,EE,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EE,2022,33.4,,,EE,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EE,2023,37.9,,,EE,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EL,2015,15.8,,,EL,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EL,2016,17.2,,,EL,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EL,2017,18.9,,,EL,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EL,2018,20.1,,,EL,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EL,2019,21.0,,,EL,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EL,2020,18.1,b,,EL,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EL,2021,17.5,,,EL,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EL,2022,17.3,,,EL,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EL,2023,17.4,,,EL,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ES,2015,30.0,,,ES,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ES,2016,33.9,,,ES,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ES,2017,36.1,,,ES,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ES,2018,34.8,,,ES,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ES,2019,38.0,,,ES,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ES,2020,40.4,,,ES,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ES,2021,43.7,,,ES,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ES,2022,42.9,p,,ES,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,ES,2023,41.4,e,,ES,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EU27_2020,2015,44.9,,,EU27_2020,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EU27_2020,2016,45.9,,,EU27_2020,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EU27_2020,2017,46.3,,,EU27_2020,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EU27_2020,2018,46.4,,,EU27_2020,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EU27_2020,2019,47.2,i,,EU27_2020,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,EU27_2020,2020,48.5,,,EU27_2020,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
