freq,unit,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc
A,PC,SE,2015,47.6,,,SE,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SE,2016,48.4,,,SE,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SE,2017,46.8,,,SE,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SE,2018,45.8,,,SE,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SE,2019,46.6,,,SE,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SE,2020,38.3,b,,SE,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SE,2021,39.5,,,SE,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SE,2022,39.7,,,SE,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SE,2023,39.4,,,SE,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SI,2015,54.1,be,,SI,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SI,2016,55.5,e,,SI,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SI,2017,57.8,e,,SI,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SI,2018,58.9,,,SI,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SI,2019,59.2,,,SI,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SI,2020,59.3,,,SI,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SI,2021,60.8,,,SI,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SI,2022,62.6,,,SI,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SI,2023,59.8,,,SI,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SK,2015,14.9,,,SK,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SK,2016,23.0,,,SK,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SK,2017,29.8,,,SK,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SK,2018,36.3,,,SK,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SK,2019,38.5,,,SK,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SK,2020,45.3,,,SK,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SK,2021,48.9,,,SK,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SK,2022,49.5,,,SK,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,SK,2023,50.3,,,SK,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,TR,2016,9.2,be,,TR,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,TR,2017,9.2,e,,TR,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,TR,2018,11.5,e,,TR,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,TR,2019,11.5,e,,TR,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,TR,2020,12.3,,,TR,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,TR,2021,12.3,e,,TR,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,XK,2020,0.0,,,XK,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,XK,2021,2.5,,,XK,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,XK,2022,2.6,,,XK,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,XK,2023,3.5,,,XK,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
