freq,indic_ur,location_code,time_period,obs_value,obs_flag,conf_status,city_name,country_code,country_name,year,indicator,indicator_desc
A,DE1001V,DE002C,2015,1762791,,,Hamburg,DE,Germany,2015,population_total,"Population on 1 January, total"
A,DE1001V,DE002C,2016,1787408,,,Hamburg,DE,Germany,2016,population_total,"Population on 1 January, total"
A,DE1001V,DE002C,2017,1810438,,,Hamburg,DE,Germany,2017,population_total,"Population on 1 January, total"
A,DE1001V,DE002C,2018,1830584,,,Hamburg,DE,Germany,2018,population_total,"Population on 1 January, total"
A,DE1001V,DE002C,2019,1841179,,,Hamburg,DE,Germany,2019,population_total,"Population on 1 January, total"
A,DE1001V,DE002C,2020,1847253,,,Hamburg,DE,Germany,2020,population_total,"Population on 1 January, total"
A,DE1001V,DE002C,2021,1852478,,,Hamburg,DE,Germany,2021,population_total,"Population on 1 January, total"
A,DE1001V,DE002C,2022,1853935,,,Hamburg,DE,Germany,2022,population_total,"Population on 1 January, total"
A,DE1001V,DE002C,2023,1892122,,,Hamburg,DE,Germany,2023,population_total,"Population on 1 January, total"
A,DE1001V,ES002C,2015,3610906,b,,Barcelona,ES,Spain,2015,population_total,"Population on 1 January, total"
A,DE1001V,ES002C,2016,3624554,,,Barcelona,ES,Spain,2016,population_total,"Population on 1 January, total"
A,DE1001V,ES002C,2017,3648483,,,Barcelona,ES,Spain,2017,population_total,"Population on 1 January, total"
A,DE1001V,ES002C,2018,3665687,,,Barcelona,ES,Spain,2018,population_total,"Population on 1 January, total"
A,DE1001V,ES002C,2019,3701270,,,Barcelona,ES,Spain,2019,population_total,"Population on 1 January, total"
A,DE1001V,ES002C,2020,3755512,,,Barcelona,ES,Spain,2020,population_total,"Population on 1 January, total"
A,DE1001V,ES002C,2021,3719096,,,Barcelona,ES,Spain,2021,population_total,"Population on 1 January, total"
A,DE1001V,ES002C,2022,3720333,,,Barcelona,ES,Spain,2022,population_total,"Population on 1 January, total"
A,DE1001V,ES002C,2023,3767382,,,Barcelona,ES,Spain,2023,population_total,"Population on 1 January, total"
A,DE1001V,FR001C,2015,10138695,,,Paris,FR,France,2015,population_total,"Population on 1 January, total"
A,DE1001V,FR001C,2016,10163539,,,Paris,FR,France,2016,population_total,"Population on 1 January, total"
A,DE1001V,FR001C,2017,10211741,,,Paris,FR,France,2017,population_total,"Population on 1 January, total"
A,DE1001V,FR001C,2018,10240964,,,Paris,FR,France,2018,population_total,"Population on 1 January, total"
A,DE1001V,FR001C,2019,10277625,,,Paris,FR,France,2019,population_total,"Population on 1 January, total"
A,DE1001V,FR001C,2020,10274884,,,Paris,FR,France,2020,population_total,"Population on 1 January, total"
A,DE1001V,FR001C,2021,10306512,,,Paris,FR,France,2021,population_total,"Population on 1 January, total"
A,DE1001V,FR001C,2022,10353710,,,Paris,FR,France,2022,population_total,"Population on 1 January, total"
A,DE1001V,HU001C,2015,1757618,,,Budapest,HU,Hungary,2015,population_total,"Population on 1 January, total"
A,DE1001V,HU001C,2016,1759407,,,Budapest,HU,Hungary,2016,population_total,"Population on 1 January, total"
A,DE1001V,HU001C,2017,1752704,,,Budapest,HU,Hungary,2017,population_total,"Population on 1 January, total"
A,DE1001V,HU001C,2018,1749734,,,Budapest,HU,Hungary,2018,population_total,"Population on 1 January, total"
A,DE1001V,HU001C,2019,1752286,,,Budapest,HU,Hungary,2019,population_total,"Population on 1 January, total"
A,DE1001V,HU001C,2020,1750216,,,Budapest,HU,Hungary,2020,population_total,"Population on 1 January, total"
