freq,indic_ur,location_code,time_period,obs_value,obs_flag,conf_status,city_name,country_code,country_name,year,indicator,indicator_desc
A,EC1010V,BE005C,2020,17308.0,e,,BE005C,BE,,2020,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE005C,2021,22326.0,,,BE005C,BE,,2021,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE005C,2022,21291.0,e,,BE005C,BE,,2022,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE005C,2023,21145.0,e,,BE005C,BE,,2023,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE006C,2015,2423.0,,,BE006C,BE,,2015,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE006C,2016,2265.0,,,BE006C,BE,,2016,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE006C,2017,2028.0,e,,BE006C,BE,,2017,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE006C,2018,1658.0,e,,BE006C,BE,,2018,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE006C,2019,1598.0,,,BE006C,BE,,2019,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE006C,2020,1805.0,e,,BE006C,BE,,2020,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE006C,2021,2008.0,,,BE006C,BE,,2021,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE006C,2022,1665.0,e,,BE006C,BE,,2022,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE006C,2023,1853.0,e,,BE006C,BE,,2023,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE007C,2015,5772.0,,,BE007C,BE,,2015,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE007C,2016,5108.0,,,BE007C,BE,,2016,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE007C,2017,4730.0,e,,BE007C,BE,,2017,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE007C,2018,4401.0,e,,BE007C,BE,,2018,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE007C,2019,3909.0,,,BE007C,BE,,2019,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE007C,2020,3992.0,e,,BE007C,BE,,2020,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE007C,2021,4958.0,,,BE007C,BE,,2021,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE007C,2022,4644.0,e,,BE007C,BE,,2022,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE007C,2023,4485.0,e,,BE007C,BE,,2023,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE008C,2015,2327.0,,,BE008C,BE,,2015,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE008C,2016,2365.0,,,BE008C,BE,,2016,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE008C,2017,2321.0,e,,BE008C,BE,,2017,unemployed_total,"Persons unemployed, total"
