STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,inet_tec,Internet technologies,terrtypo,Territorial typology,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CY,Cyprus,2024,,89.1,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CZ,Czechia,2019,,29.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CZ,Czechia,2020,,33.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CZ,Czechia,2021,,52.5,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CZ,Czechia,2022,,53.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CZ,Czechia,2023,,50.5,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CZ,Czechia,2024,,53.9,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DE,Germany,2019,,34.4,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DE,Germany,2020,,55.9,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DE,Germany,2021,,74.9,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DE,Germany,2022,,70.1,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DE,Germany,2023,,74.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DE,Germany,2024,,77.4,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DK,Denmark,2019,,93,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DK,Denmark,2020,,93.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DK,Denmark,2021,,94.9,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DK,Denmark,2022,,96.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DK,Denmark,2023,,97.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DK,Denmark,2024,,96.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EE,Estonia,2019,,57.4,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EE,Estonia,2020,,70.9,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EE,Estonia,2021,,73.4,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EE,Estonia,2022,,76.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EE,Estonia,2023,,76.9,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EE,Estonia,2024,,76.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EL,Greece,2019,,7.1,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EL,Greece,2020,,10.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EL,Greece,2021,,19.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EL,Greece,2022,,27.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EL,Greece,2023,,38.4,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EL,Greece,2024,,46.1,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,ES,Spain,2019,,89,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,ES,Spain,2020,,91.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,ES,Spain,2021,,93.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,ES,Spain,2022,,93.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,ES,Spain,2023,,96.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,ES,Spain,2024,,95,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EU27_2020,European Union - 27 countries (from 2020),2019,,50.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EU27_2020,European Union - 27 countries (from 2020),2020,,59.5,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EU27_2020,European Union - 27 countries (from 2020),2021,,69.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EU27_2020,European Union - 27 countries (from 2020),2022,,73.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EU27_2020,European Union - 27 countries (from 2020),2023,,78.6,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,EU27_2020,European Union - 27 countries (from 2020),2024,,82.5,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FI,Finland,2019,,61.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FI,Finland,2020,,66.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FI,Finland,2021,,68,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FI,Finland,2022,,70.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FI,Finland,2023,,77.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FI,Finland,2024,,81.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FR,France,2019,,43.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FR,France,2020,,52.6,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FR,France,2021,,63.4,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FR,France,2022,,73.4,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FR,France,2023,,81.4,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,FR,France,2024,,87.5,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HR,Croatia,2019,,43.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HR,Croatia,2020,,46.5,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HR,Croatia,2021,,52.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HR,Croatia,2022,,61.5,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HR,Croatia,2023,,67.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HR,Croatia,2024,,78.9,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HU,Hungary,2019,,42.6,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HU,Hungary,2020,,48.6,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HU,Hungary,2021,,71.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HU,Hungary,2022,,80.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HU,Hungary,2023,,84.1,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HU,Hungary,2024,,86,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IE,Ireland,2019,,35.4,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IE,Ireland,2020,,65.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IE,Ireland,2021,,71.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IE,Ireland,2022,,72.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IE,Ireland,2023,,78.5,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IE,Ireland,2024,,87.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IS,Iceland,2019,,82,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IS,Iceland,2020,,83.6,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IS,Iceland,2021,,88.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IS,Iceland,2022,,89.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IS,Iceland,2023,,92.6,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IS,Iceland,2024,,95.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IT,Italy,2019,,30,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IT,Italy,2020,,33.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IT,Italy,2021,,44.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IT,Italy,2022,,53.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IT,Italy,2023,,59.6,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IT,Italy,2024,,70.7,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,LT,Lithuania,2019,,61,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,LT,Lithuania,2020,,67.1,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,LT,Lithuania,2021,,78.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,LT,Lithuania,2022,,78,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,LT,Lithuania,2023,,78.1,,,,,
