location_code,time_period,iso3,country_name,pm10_concentration,pm25_concentration,no2_concentration,population,latitude,longitude,city_name,country_code,year,is_missing,pm10_concentration_zscore,pm10_concentration_modified_zscore,pm10_concentration_is_outlier_zscore,pm10_concentration_is_outlier_mod_zscore,pm10_concentration_is_outlier_iqr,pm10_concentration_is_outlier_range,pm10_concentration_is_outlier_temporal,pm10_concentration_yoy_change_pct,iqr_lower,iqr_upper,pm10_concentration_is_any_outlier,pm10_concentration_outlier_methods,pm25_concentration_zscore,pm25_concentration_modified_zscore,pm25_concentration_is_outlier_zscore,pm25_concentration_is_outlier_mod_zscore,pm25_concentration_is_outlier_iqr,pm25_concentration_is_outlier_range,pm25_concentration_is_outlier_temporal,pm25_concentration_yoy_change_pct,pm25_concentration_is_any_outlier,pm25_concentration_outlier_methods,no2_concentration_zscore,no2_concentration_modified_zscore,no2_concentration_is_outlier_zscore,no2_concentration_is_outlier_mod_zscore,no2_concentration_is_outlier_iqr,no2_concentration_is_outlier_range,no2_concentration_is_outlier_temporal,no2_concentration_yoy_change_pct,no2_concentration_is_any_outlier,no2_concentration_outlier_methods
Budapest/HUN,2019,HUN,Hungary,27.213,14.384,30.636,1768073.0,47.50956667,19.07931667,Budapest,HU,2019,False,0.7007831140198527,0.9281491090965924,False,False,False,False,False,-14.834287860294804,6.592000000000009,52.54399999999999,False,,0.12125027695237765,0.4190450497642743,False,False,False,False,False,-14.963050546851896,False,,0.07599482470331131,0.11632512908777959,False,False,False,False,False,-0.9377223048567473,False,
Budapest/HUN,2020,HUN,Hungary,24.975,14.458,27.224,1768073.0,47.50956667,19.07931667,Budapest,HU,2020,False,0.2972612065455659,0.45627321037824325,False,False,False,False,False,-8.224010583177154,6.592000000000009,52.54399999999999,False,,0.13441520653012043,0.4451911995809322,False,False,False,False,False,0.5144605116796486,False,,-0.3424765553225111,-0.2797839931153185,False,False,False,False,False,-11.137224180702443,False,
Hamburg/DEU,2015,DEU,Germany,20.631,13.873,30.457,1789954.0,53.54911667,9.972316667,Hamburg,DE,2015,False,-0.48598238865921634,-0.45964676461394155,False,False,False,False,False,,6.592000000000009,52.54399999999999,False,,0.030341101084450883,0.23849528548978477,False,False,False,False,False,,False,,0.054041021354946255,0.09554449225473328,False,False,False,False,False,,False,
Hamburg/DEU,2016,DEU,Germany,19.612,14.01,31.74,1789954.0,53.55272941,9.965770588,Hamburg,DE,2016,False,-0.6697128728934877,-0.6745,False,False,False,False,False,-4.9391692113809444,6.592000000000009,52.54399999999999,False,,0.05471401124865046,0.28690099528548946,False,False,False,False,False,0.9875297340157241,False,,0.2113970531759103,0.24449173838209967,False,False,False,False,False,4.212496306267854,False,
Hamburg/DEU,2017,DEU,Germany,18.482,13.697,29.868,1789954.0,53.55361875,9.95720625,Hamburg,DE,2017,False,-0.8734571782759468,-0.9127572678962173,False,False,False,False,False,-5.761778502957371,6.592000000000009,52.54399999999999,False,,-0.000970082776126601,0.1763098480880037,False,False,False,False,False,-2.234118486795156,False,,-0.01819802988632291,0.027165748709122,False,False,False,False,False,-5.89792060491493,False,
Hamburg/DEU,2018,DEU,Germany,20.999,12.483,29.634,1789954.0,53.55265333,9.968606667,Hamburg,DE,2018,False,-0.41963026088864575,-0.38205501719287277,False,False,False,False,False,13.618655989611517,6.592000000000009,52.54399999999999,False,,-0.2169460896326095,-0.25262833944473534,False,False,False,False,False,-8.863254727312542,False,,-0.04689741526910184,0.0,False,False,False,False,False,-0.7834471675371546,False,
Hamburg/DEU,2019,DEU,Germany,18.954,11.485,27.214,1789954.0,53.55265333,9.968606667,Hamburg,DE,2019,False,-0.7883533622223884,-0.8132374179431067,False,False,False,False,False,-9.73855897899899,6.592000000000009,52.54399999999999,False,,-0.3944947344783841,-0.6052480356207439,False,False,False,False,False,-7.994873027317162,False,,-0.34370302478331377,-0.28094492254733244,False,False,False,False,False,-8.166295471417973,False,
Hamburg/DEU,2020,DEU,Germany,16.326,9.734,25.654,1789954.0,53.54861667,9.987858333,Hamburg,DE,2020,False,-1.262194100757878,-1.3673437011566107,False,False,False,False,False,-13.865147198480532,6.592000000000009,52.54399999999999,False,,-0.7060054330003791,-1.2239224724986901,False,False,False,False,False,-15.245973008271651,False,,-0.535032260668508,-0.4620499139414804,False,False,False,False,False,-5.732343646652449,False,
Hamburg/DEU,2021,DEU,Germany,16.281,10.377,24.768,1789954.0,53.54861667,9.987858333,Hamburg,DE,2021,False,-1.270307812034171,-1.3768318224445135,False,False,False,False,False,-0.2756339581036493,6.592000000000009,52.54399999999999,False,,-0.5916128692370193,-0.9967336301728649,False,False,False,False,False,6.605711937538539,False,,-0.6436974548956119,-0.5649082616179002,False,False,False,False,False,-3.453652451859357,False,
Kobenhavn/DNK,2015,DNK,Denmark,23.626,12.0,27.381,559440.0,55.676225,12.537275,Copenhagen,DK,2015,False,0.05403017295181564,0.17184041888090046,False,False,False,False,False,,6.592000000000009,52.54399999999999,False,,-0.30287394079544433,-0.42328496595075954,False,False,False,False,False,,False,,-0.3232209847879114,-0.2615574010327023,False,False,False,False,False,,False,
Kobenhavn/DNK,2016,DNK,Denmark,22.811,11.968,26.853,559440.0,55.676225,12.537275,Copenhagen,DK,2016,False,-0.09291815349659559,0.0,False,False,False,False,False,-3.449589435367817,6.592000000000009,52.54399999999999,False,,-0.3085668833155493,-0.4345914091147197,False,False,False,False,False,-0.2666666666666706,False,,-0.3879785723182847,-0.32285447504302917,False,False,False,False,False,-1.9283444724443877,False,
Kobenhavn/DNK,2017,DNK,Denmark,20.479,11.063,23.824,559440.0,55.676225,12.537275,Copenhagen,DK,2017,False,-0.5133887023035828,-0.491695529853079,False,False,False,False,False,-10.223137959756256,6.592000000000009,52.54399999999999,False,,-0.4695704139622685,-0.7543517548454685,False,False,False,False,False,-7.561831550802134,False,,-0.7594761719953704,-0.6745,False,False,False,False,False,-11.279931478791937,False,
Kobenhavn/DNK,2018,DNK,Denmark,24.783,13.61,23.43,559440.0,55.676225,12.537275,Copenhagen,DK,2018,False,0.26264270510005067,0.4157905595498594,False,False,False,False,False,21.016651203672065,6.592000000000009,52.54399999999999,False,,-0.016447770252662003,0.14557045573598704,False,False,False,False,False,23.022688240079535,False,,-0.8077990687509902,-0.7202406196213427,False,False,False,False,False,-1.6537944929482906,False,
Kobenhavn/DNK,2019,DNK,Denmark,21.124,11.374,20.085,559440.0,55.676225,12.537275,Copenhagen,DK,2019,False,-0.39709217401005514,-0.355699124726477,False,False,False,False,False,-14.764152846709443,6.592000000000009,52.54399999999999,False,,-0.4142421288449981,-0.6444672603457304,False,False,False,False,False,-16.429096252755315,False,,-1.2180531033894357,-1.1085715146299486,False,False,False,False,False,-14.276568501920606,False,
Kobenhavn/DNK,2020,DNK,Denmark,17.716,8.315,15.792,559440.0,55.676225,12.537275,Copenhagen,DK,2020,False,-1.01157057466795,-1.07426617693029,False,False,False,False,False,-16.13330808558984,6.592000000000009,52.54399999999999,False,,-0.9584518528762849,-1.7252925615505497,False,False,False,False,False,-26.894672059082126,False,,-1.744576442911961,-1.60695851979346,False,False,False,False,False,-21.37415982076176,False,
Lisboa/PRT,2015,PRT,Portugal,24.423,13.281,26.048,2956879.0,38.7267,-9.166,Lisbon,PT,2015,False,0.19773301488970907,0.33988558924663903,False,False,False,False,False,,6.592000000000009,52.54399999999999,False,,-0.07497833553749125,0.029326086956521794,False,False,False,False,False,,False,,-0.4867093639128886,-0.41630929432013797,False,False,False,False,False,,False,
Lisboa/PRT,2016,PRT,Portugal,21.779,11.934,23.096,2956879.0,38.72751765,-9.168994118,Lisbon,PT,2016,False,-0.27899259876623994,-0.2175942482025632,False,False,False,False,False,-10.825860868853121,6.592000000000009,52.54399999999999,False,,-0.314615634743161,-0.4466045049764277,False,False,False,False,False,-10.14230856110233,False,,-0.8487631487417946,-0.7590156626506026,False,False,False,False,False,-11.332923832923825,False,
Lisboa/PRT,2017,PRT,Portugal,25.219,13.198,26.391,2956879.0,38.72680625,-9.1665875,Lisbon,PT,2017,False,0.3412555521325748,0.5077199124726477,False,False,False,False,False,15.795031911474355,6.592000000000009,52.54399999999999,False,,-0.08974440519901361,0.0,False,False,False,False,False,10.59158706217531,False,,-0.4446414614073619,-0.3764894148020657,False,False,False,False,False,14.266539660547274,False,
Lisboa/PRT,2018,PRT,Portugal,22.132,12.341,26.382,2956879.0,38.72751765,-9.168994118,Lisbon,PT,2018,False,-0.2153450414210997,-0.14316520787746131,False,False,False,False,False,-12.24077084737698,6.592000000000009,52.54399999999999,False,,-0.2422085220655756,-0.30280068098480906,False,False,False,False,False,-6.493408092135178,False,,-0.4457452839220838,-0.37753425129087775,False,False,False,False,False,-0.03410253495508275,False,
Lisboa/PRT,2019,PRT,Portugal,20.088,10.439,23.759,2956879.0,38.72751765,-9.168994118,Lisbon,PT,2019,False,-0.583887838059814,-0.5741367614879644,False,False,False,False,False,-9.235496114223752,6.592000000000009,52.54399999999999,False,,-0.5805827931043159,-0.9748273965426922,False,False,False,False,False,-15.412041163600998,False,,-0.767448223490587,-0.6820460413080897,False,False,False,False,False,-9.942384959442052,False,
Lisboa/PRT,2020,PRT,Portugal,17.338,9.389,20.102,2956879.0,38.7323625,-9.17651875,Lisbon,PT,2020,False,-1.0797257493888082,-1.1539663957486705,False,False,False,False,False,-13.689765033851053,6.592000000000009,52.54399999999999,False,,-0.7673824695452611,-1.345820062860136,False,False,False,False,False,-10.058434715968968,False,,-1.2159681053060714,-1.1065979345955252,False,False,False,False,False,-15.392061955469504,False,
