freq,unit,inet_tec,Internet technologies,terrtypo,Territorial typology,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc,is_missing,zscore,modified_zscore,is_outlier_zscore,is_outlier_mod_zscore,is_outlier_iqr,is_outlier_range,is_outlier_temporal,yoy_change_pct,iqr_lower,iqr_upper,is_any_outlier,outlier_methods
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HU,2019,42.6,,,HU,Hungary,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-1.6846979278939427,-2.4919027777777782,False,False,False,False,False,,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HU,2020,48.6,,,HU,Hungary,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-1.3850678372995389,-2.117180555555556,False,False,False,False,False,14.084507042253524,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HU,2021,71.8,,,HU,Hungary,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-0.2264981536678441,-0.66825462962963,False,False,False,False,True,47.73662551440327,18.999999999999993,137.4,True,temporal
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HU,2022,80.3,,,HU,Hungary,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.1979778080075614,-0.13739814814814838,False,False,False,False,False,11.838440111420612,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,HU,2023,84.1,,,HU,Hungary,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.38774353205068374,0.0999259259259256,False,False,False,False,False,4.732254047322537,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IT,2019,30.0,,,IT,Italy,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-2.313921118142191,-3.2788194444444456,False,True,False,False,False,,18.999999999999993,137.4,True,mod_zscore
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IT,2020,33.7,,,IT,Italy,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-2.1291492289423086,-3.0477407407407413,False,True,False,False,False,12.333333333333352,18.999999999999993,137.4,True,mod_zscore
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IT,2021,44.2,,,IT,Italy,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-1.6047965704021017,-2.3919768518518523,False,False,False,False,True,31.15727002967359,18.999999999999993,137.4,True,temporal
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IT,2022,53.7,,,IT,Italy,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-1.1303822602942954,-1.798666666666667,False,False,False,False,True,21.49321266968325,18.999999999999993,137.4,True,temporal
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,IT,2023,59.6,,,IT,Italy,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-0.8357460045431317,-1.430189814814815,False,False,False,False,False,10.986964618249528,18.999999999999993,137.4,False,
