freq,indic_ur,location_code,time_period,obs_value,obs_flag,conf_status,city_name,country_code,country_name,year,indicator,indicator_desc,is_missing,zscore,modified_zscore,is_outlier_zscore,is_outlier_mod_zscore,is_outlier_iqr,is_outlier_range,is_outlier_temporal,yoy_change_pct,iqr_lower,iqr_upper,is_any_outlier,outlier_methods
A,EC1010V,DE002C,2015,40700.0,,,Hamburg,DE,Germany,2015,unemployed_total,"Persons unemployed, total",False,-0.6114896639491418,-0.22283839425851854,False,False,False,False,False,,-232576.375,470462.625,False,
A,EC1010V,DE002C,2016,39970.0,,,Hamburg,DE,Germany,2016,unemployed_total,"Persons unemployed, total",False,-0.614783950243676,-0.23530320616677636,False,False,False,False,False,-1.7936117936117935,-232576.375,470462.625,False,
A,EC1010V,DE002C,2017,41860.0,e,,Hamburg,DE,Germany,2017,unemployed_total,"Persons unemployed, total",False,-0.6062549076454984,-0.2030312958837527,False,False,False,False,False,4.728546409807355,-232576.375,470462.625,False,
A,EC1010V,DE002C,2018,40960.0,e,,Hamburg,DE,Germany,2018,unemployed_total,"Persons unemployed, total",False,-0.6103163565017734,-0.2183988722090021,False,False,False,False,False,-2.150023889154329,-232576.375,470462.625,False,
A,EC1010V,DE002C,2019,36490.0,e,,Hamburg,DE,Germany,2019,unemployed_total,"Persons unemployed, total",False,-0.6304882191546065,-0.29472450129107386,False,False,False,False,False,-10.9130859375,-232576.375,470462.625,False,
A,EC1010V,DE002C,2020,47650.0,e,,Hamburg,DE,Germany,2020,unemployed_total,"Persons unemployed, total",False,-0.5801262533367952,-0.10416655485798189,False,False,False,False,True,30.583721567552757,-232576.375,470462.625,True,temporal
A,EC1010V,DE002C,2021,56000.0,e,,Hamburg,DE,Germany,2021,unemployed_total,"Persons unemployed, total",False,-0.5424450333924651,0.03841040327072047,False,False,False,False,False,17.52360965372508,-232576.375,470462.625,False,
A,EC1010V,DE002C,2022,52000.0,e,,Hamburg,DE,Germany,2022,unemployed_total,"Persons unemployed, total",False,-0.5604959171981322,-0.029889935952609994,False,False,False,False,False,-7.14285714285714,-232576.375,470462.625,False,
A,EC1010V,DE002C,2023,51000.0,e,,Hamburg,DE,Germany,2023,unemployed_total,"Persons unemployed, total",False,-0.5650086381495489,-0.04696502075844261,False,False,False,False,False,-1.9230769230769273,-232576.375,470462.625,False,
A,EC1010V,ES002C,2015,317572.0,,,Barcelona,ES,Spain,2015,unemployed_total,"Persons unemployed, total",False,0.637956411311525,4.50477448610197,False,True,False,False,False,,-232576.375,470462.625,True,mod_zscore
A,EC1010V,ES002C,2016,276729.0,,,Barcelona,ES,Spain,2016,unemployed_total,"Persons unemployed, total",False,0.4536433494928095,3.8073767973773482,False,True,False,False,False,-12.861020492990571,-232576.375,470462.625,True,mod_zscore
A,EC1010V,ES002C,2017,235228.0,e,,Barcelona,ES,Spain,2017,unemployed_total,"Persons unemployed, total",False,0.26636091728806166,3.0987437028504883,False,True,False,False,False,-14.996982607533004,-232576.375,470462.625,True,mod_zscore
A,EC1010V,ES002C,2018,201429.0,e,,Barcelona,ES,Spain,2018,unemployed_total,"Persons unemployed, total",False,0.1138354618511259,2.521622911498152,False,True,False,False,False,-14.368612580135022,-232576.375,470462.625,True,mod_zscore
A,EC1010V,ES002C,2019,200297.0,e,,Barcelona,ES,Spain,2019,unemployed_total,"Persons unemployed, total",False,0.10872706173412211,2.5022939154979493,False,True,False,False,False,-0.5619846198908762,-232576.375,470462.625,True,mod_zscore
A,EC1010V,ES002C,2020,230052.0,e,,Barcelona,ES,Spain,2020,unemployed_total,"Persons unemployed, total",False,0.2430030736435284,3.010363063895499,False,True,False,False,False,14.855439672086955,-232576.375,470462.625,True,mod_zscore
A,EC1010V,ES002C,2021,208621.0,e,,Barcelona,ES,Spain,2021,unemployed_total,"Persons unemployed, total",False,0.14629095093371539,2.6444269214217,False,True,False,False,False,-9.315719924191058,-232576.375,470462.625,True,mod_zscore
A,EC1010V,ES002C,2022,174316.0,e,,Barcelona,ES,Spain,2022,unemployed_total,"Persons unemployed, total",False,-0.008517941304637266,2.058666137157612,False,False,False,False,False,-16.443694546570097,-232576.375,470462.625,False,
A,EC1010V,ES002C,2023,178060.0,e,,Barcelona,ES,Spain,2023,unemployed_total,"Persons unemployed, total",False,0.008377685937467159,2.12259525467065,False,False,False,False,False,2.147823492966805,-232576.375,470462.625,False,
A,EC1010V,FR001C,2015,677693.0,d,,Paris,FR,France,2015,unemployed_total,"Persons unemployed, total",False,2.2630819930566872,10.653871101463217,False,True,True,False,False,,-232576.375,470462.625,True,"mod_zscore,iqr"
A,EC1010V,FR001C,2016,671804.0,d,,Paris,FR,France,2016,unemployed_total,"Persons unemployed, total",False,2.2365065793737937,10.553315927041668,False,True,True,False,False,-0.8689775458799232,-232576.375,470462.625,True,"mod_zscore,iqr"
A,EC1010V,FR001C,2017,665004.0,d,,Paris,FR,France,2017,unemployed_total,"Persons unemployed, total",False,2.2058200769041596,10.437205350362007,False,True,True,False,False,-1.0121999869009413,-232576.375,470462.625,True,"mod_zscore,iqr"
A,EC1010V,FR001C,2018,649590.0,d,,Paris,FR,France,2018,unemployed_total,"Persons unemployed, total",False,2.1362609961590215,10.174009993164903,False,True,True,False,False,-2.3178807947019875,-232576.375,470462.625,True,"mod_zscore,iqr"
A,EC1010V,FR001C,2019,652329.0,d,,Paris,FR,France,2019,unemployed_total,"Persons unemployed, total",False,2.148621338844952,10.220778650448079,False,True,True,False,False,0.42165057959635543,-232576.375,470462.625,True,"mod_zscore,iqr"
