cluster_id,feature_name,mean,median,z_mean
0,URB_CEDUC_TE1026V,98875.751,91336.5,0.13360458353842627
0,URB_CLMA_EC1010V,23816.13666666667,19863.2,-0.4209711937423164
0,URB_CLMA_EC1177V,353617.1325,340947.39,-0.3441133587853463
0,URB_CPOP1_DE1001V,1014343.6640000001,791608.54,-0.13194948938388235
0,URB_CPOPCB_DE2009V,90947.83249999999,93406.165,-0.6188919629164304
0,URB_CTOUR_CR2001V,2553687.619,1909923.665,-0.5057479329214719
0,URB_CTRAN_TT1057I,627.94875,643.255,1.6871515631032594
0,COUNTRY_HLTH_RS_BDS1_HBEDT_TOTAL,594.8870000000001,642.6,0.2887583046670426
0,COUNTRY_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,37.087,43.95,-1.3419019453222376
0,COUNTRY_SDG_11_60,34.515,35.22,-0.9389969591428388
0,COUNTRY_SDG_17_60_VHCN_FX_TOTAL,65.298,69.34,-0.07792649911462965
0,COUNTRY_TRNG_LFSE_01_T_Y25-74,4.468000000000001,4.56,-1.0009882795956684
0,WHO_NO2,31.898000000000003,33.31,0.2509851675489073
0,WHO_PM10,31.264999999999997,30.735,1.541081336662188
0,WHO_PM25,20.4,21.145000000000003,1.552397610124887
1,URB_CEDUC_TE1026V,56151.82583333333,55154.22,-0.5735869660159884
1,URB_CLMA_EC1010V,19263.8475,17571.28,-0.5003303583913797
1,URB_CLMA_EC1177V,306437.51875,262093.555,-0.46018762496730004
1,URB_CPOP1_DE1001V,669554.1816666666,577876.7250000001,-0.5084045027878735
1,URB_CPOPCB_DE2009V,130361.61304347827,137911.11,-0.40429022096879214
1,URB_CTOUR_CR2001V,3051445.42,2515010.915,-0.4256550961468305
1,URB_CTRAN_TT1057I,362.24954545454545,357.615,-0.4778323589713131
1,COUNTRY_HLTH_RS_BDS1_HBEDT_TOTAL,702.7082352941176,786.86,0.810848113460266
1,COUNTRY_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,56.839999999999996,58.08,-0.20093986077460887
