URB_CEDUC_TE1026V,URB_CLMA_EC1010V,URB_CLMA_EC1177V,URB_CPOP1_DE1001V,URB_CPOPCB_DE2009V,URB_CTOUR_CR2001V,URB_CTRAN_TT1057I,COUNTRY_HLTH_RS_BDS1_HBEDT_TOTAL,COUNTRY_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,COUNTRY_SDG_11_60,COUNTRY_SDG_17_60_VHCN_FX_TOTAL,COUNTRY_TRNG_LFSE_01_T_Y25-74,WHO_NO2,WHO_PM10,WHO_PM25
0.7435060492397944,1.588511291704797,0.3945840962127244,0.6676913441562696,3.0589254430630266,0.9913738540609858,0.22625907646192395,-0.05071716025178021,0.7971135165140162,0.5873544093178035,0.6722884559464959,0.007911392405063264,0.20573038985439226,-0.064914992272025,0.24096385542168716
-0.3151962270654333,-0.09486414975228204,-0.5653913998812333,-0.35117768596535975,0.11560150749439528,-0.8501946534063811,0.0064084343264684315,-0.05071716025178021,0.7971135165140162,0.5873544093178035,0.6722884559464959,0.007911392405063264,0.2649131047440114,0.4358578052550233,0.2891566265060245
0.564918410015556,-0.07636978471028025,0.8905551537559647,0.6915310773096178,-0.7514099465846973,-0.8159001139446651,0.0,0.6165256423485709,-3.475992228698304,-0.773710482529118,0.946786856644373,-0.9509493670886077,-0.6491310474401126,1.590417310664606,0.47342310418143163
0.10083188383909013,-0.054769326763483776,0.06406707898256822,-0.1249324956093634,0.9907337481820861,0.2001675666979423,0.44094162639861517,-0.3205035600041277,2.785456563974464,0.4952856350526899,1.3189880779296297,2.903481012658228,-0.06575857209957689,-0.7233384853168473,-0.4620836286321755
1.0104905175996968,-0.4001655481099443,1.4179583449077484,0.7732403892416213,0.0,0.0,0.0,0.2169538747291299,0.49070219261726317,-0.3854686633388798,-1.114277406222739,-0.034810126582278444,-0.2949741662752464,0.3771251931993815,0.969525159461375
2.1109498918169796,3.405161225040423,5.858547972448,4.217495097733306,0.0,12.371532593749054,-0.9764593400346259,0.5431070065008771,0.0,1.3721575152523573,-0.05350392555975582,-0.09335443037974682,0.07421324565523749,0.2163833075734156,0.5868178596739901
0.6715608779220318,0.7144889910428931,2.4231237329898456,1.5746355958751466,2.3165068743531445,4.552892474211252,-0.40817592185844603,0.5431070065008771,0.0,1.3721575152523573,-0.05350392555975582,-0.09335443037974682,-0.20479098168154033,-0.2102009273570324,-0.03401842664776732
0.7540376899806576,0.21997536423351632,1.8538989746478414,1.0441741173399077,1.7704610157825997,5.401118312627638,-0.37840771079356067,0.5431070065008771,0.0,1.3721575152523573,-0.05350392555975582,-0.09335443037974682,0.566463128229216,-0.14374034003091188,-0.1559177888022676
0.5523375589826555,0.18618752197881908,0.7418588514681015,0.4592272004202053,0.6427112851529643,1.0980919019245425,-0.2637794258249565,0.5431070065008771,0.0,1.3721575152523573,-0.05350392555975582,-0.09335443037974682,0.580554250821983,-0.1901081916537868,-0.0028348688873139015
0.0,-0.1052410757321797,0.12714463829261216,-0.02175332171650295,0.7530748276150736,2.615909662546255,-0.671438538463526,0.5431070065008771,0.0,1.3721575152523573,-0.05350392555975582,-0.09335443037974682,0.4039455143259752,-0.36166924265842354,0.005669737774628306
-0.46431842810287716,-0.10802661211592957,-0.3650928035026093,-0.26965839541434156,-0.10119930323863832,-0.9520623755020622,0.4191322773198275,0.5431070065008771,0.0,1.3721575152523573,-0.05350392555975582,-0.09335443037974682,0.38421794269610193,0.18392581143740308,0.19844082211197764
-0.2752082389677311,-0.25292501978727117,-0.11533621400384765,-0.20044057913603622,0.3016571011606534,0.0604074255110687,-0.29468461717357025,0.5431070065008771,0.0,1.3721575152523573,-0.05350392555975582,-0.09335443037974682,1.586660403945515,0.4126738794435856,0.0
-0.5310950337782223,-0.1829030649397464,-0.22993900109723253,-0.2664937591684283,-0.7257514963218074,-0.17243775868291938,-0.4388743895191088,0.5431070065008771,0.0,1.3721575152523573,-0.05350392555975582,-0.09335443037974682,-0.1672146547674963,-0.026275115919629326,-0.17009213323883762
