URB_CEDUC_TE1026V,URB_CLMA_EC1010V,URB_CLMA_EC1177V,URB_CPOP1_DE1001V,URB_CPOPCB_DE2009V,URB_CTOUR_CR2001V,URB_CTRAN_TT1057I,COUNTRY_HLTH_RS_BDS1_HBEDT_TOTAL,COUNTRY_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,COUNTRY_SDG_11_60,COUNTRY_SDG_17_60_VHCN_FX_TOTAL,COUNTRY_TRNG_LFSE_01_T_Y25-74,COUNTRY_URB_CEDUC_TE1026V,COUNTRY_URB_CLMA_EC1010V,COUNTRY_URB_CLMA_EC1177V,COUNTRY_URB_CPOP1_DE1001V,COUNTRY_URB_CPOPCB_DE2009V,COUNTRY_URB_CTOUR_CR2001V,COUNTRY_URB_CTRAN_TT1057I,WHO_NO2,WHO_PM10,WHO_PM25
0.7349867555755925,1.4206865080734383,0.3685598130772582,0.6169518710611654,2.9751736271380067,0.9767692623034939,0.2931856241143886,-0.051974832126051064,0.6163090128755367,0.6289517470881861,0.6726796624963631,0.0,0.0,-0.6624048658374874,-1.5188246161736443,-1.4822109939746178,-4017399.1100000003,-0.9442832260833502,0.4141110872828652,0.18638159423657943,-0.1112984822934233,0.2527881040892198
-0.31804796740043956,-0.09997612721448258,-0.5559983282493386,-0.3567041339221145,0.1074457723713022,-0.9554030022990614,0.0739920133968827,-0.051974832126051064,0.6163090128755367,0.6289517470881861,0.6726796624963631,0.0,0.0,-0.6624048658374874,-1.5188246161736443,-1.4822109939746178,-4017399.1100000003,-0.9442832260833502,0.4141110872828652,0.24494538693934453,0.43507588532883673,0.3033457249070637
0.557355149970901,-0.0832694026240346,0.8462325047030076,0.6397336993980083,-0.737297433504897,-0.9194211978174165,0.0,0.6318140961243588,-2.687553648068668,-0.7321131447587353,0.9473377945883037,-0.9588607594936709,-1.5430044671643337,-0.7170302761477033,-1.6976852818915191,-1.6165472947113368,-5866378.5,-0.9748483493454357,0.0,-0.6595398559144784,1.694772344013491,0.4966542750929369
0.0957530192617288,-0.06375681589152883,0.0502368971585637,-0.1404987319752085,0.9601011912658061,0.14663623286520588,0.5072265876594102,-0.328451329773172,2.153648068669527,0.5368829728230726,1.3197556008146634,2.8955696202531644,0.0,0.0,0.0,-1.5796575949899094,-3622814.5,0.0,1.0986489384516411,-0.08226818498721807,-0.8296795952782462,-0.48475836431226754
1.0005419753673541,-0.3757675030122667,1.3541776721839114,0.7178171035192915,0.0,0.0,0.0,0.2223338444456191,0.37939914163090127,-0.3438713255684971,-1.114925807390166,-0.04272151898734171,-1.487583925769824,-0.7675619943836042,-1.473556109312909,-1.5093397693372899,0.0,0.0,0.0,-0.30908668370904024,0.37099494097807745,1.0171003717472122
2.0951102578872094,3.0617415020982004,5.63093609897499,4.009230602675834,0.0,12.916823077537027,-0.9059384258662883,0.5565748427007876,0.0,1.41375485302274,-0.05353505964503937,-0.10126582278481008,0.6611272273114397,0.0,1.7969173526848008,0.6868412729044856,0.0,0.17793744005453074,0.0,0.056239832674878046,0.19561551433389548,0.6156133828996285
0.6634267285088129,0.631146027505111,2.3222584687379646,1.4836498378898717,2.251823273594934,4.713511865044734,-0.33935334277985313,0.5565748427007876,0.0,1.41375485302274,-0.05353505964503937,-0.10126582278481008,0.6611272273114397,0.0,1.7969173526848008,0.6868412729044856,0.0,0.17793744005453074,0.0,-0.21984661863815935,-0.2698145025295106,-0.035687732342007214
0.7454620172598704,0.18443142278280622,1.7740346997864131,0.97672795812041,1.7198020102608227,5.603469763684805,-0.30967409506634036,0.5565748427007876,0.0,1.41375485302274,-0.05353505964503937,-0.10126582278481008,0.6611272273114397,0.0,1.7969173526848008,0.6868412729044856,0.0,0.17793744005453074,0.0,0.5433418545201023,-0.1973018549747046,-0.16356877323420047
0.5448416480367523,0.15390946791856774,0.7030222067060378,0.4177384693660659,0.6210173074797305,1.0887377562141916,-0.1953883807806258,0.5565748427007876,0.0,1.41375485302274,-0.05353505964503937,-0.10126582278481008,0.6611272273114397,0.0,1.7969173526848008,0.6868412729044856,0.0,0.17793744005453074,0.0,0.557285614687428,-0.247892074198988,-0.0029739776951672237
-0.0045390810218411855,-0.10935003348527882,0.11098727175917164,-0.041898206019478065,0.728546282134766,2.681230985709973,-0.6018291897462318,0.5565748427007876,0.0,1.41375485302274,-0.05353505964503937,-0.10126582278481008,0.6611272273114397,0.0,1.7969173526848008,0.6868412729044856,0.0,0.17793744005453074,0.0,0.38252382059028617,-0.4350758853288362,0.005947955390334976
