cluster_id,feature_name,mean,median,z_mean
0,URB_CEDUC_TE1026V,70087.95380952381,61098.735,-0.311702252940882
0,URB_CLMA_EC1010V,33014.8469047619,19733.335,-0.28368895302659847
0,URB_CLMA_EC1177V,345379.6202325581,303851.44,-0.3424599853676349
0,URB_CPOP1_DE1001V,791222.3827272728,673625.5549999999,-0.3490337782704759
0,URB_CPOPCB_DE2009V,155696.51880952384,139806.93,-0.24953641912460348
0,URB_CTOUR_CR2001V,3406950.189310345,3079152.38,-0.3470003353978797
0,URB_CTRAN_TT1057I,379.089,376.71500000000003,-0.31547449342148365
0,COUNTRY_HLTH_RS_BDS1_HBEDT_TOTAL,555.887027027027,576.33,0.09739491831366376
0,COUNTRY_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,67.17818181818183,63.88,0.3832251736654989
0,COUNTRY_SDG_11_60,50.58513513513513,43.57,0.19992407738006188
0,COUNTRY_SDG_17_60_VHCN_FX_TOTAL,66.56818181818181,62.92,0.02347798171378289
0,COUNTRY_TRNG_LFSE_01_T_Y25-74,11.584999999999997,10.43,0.19205424991297113
0,WHO_NO2,29.333409090909093,29.18,-0.16390413873791204
0,WHO_PM10,19.25139534883721,18.89,-0.4132295143854278
0,WHO_PM25,11.27674418604651,11.76,-0.3737102912474153
1,URB_CEDUC_TE1026V,701959.62,701959.62,6.195882749895954
1,URB_CLMA_EC1010V,646482.88,646482.88,6.073730774859414
1,URB_CLMA_EC1177V,4491504.5,4491504.5,4.8092377293112945
1,URB_CPOP1_DE1001V,10245958.75,10245958.75,5.244799770130816
1,URB_CPOPCB_DE2009V,2557692.62,2557692.62,6.44845050985052
1,URB_CTOUR_CR2001V,57790018.0,57790018.0,5.351994623813233
1,URB_CTRAN_TT1057I,356.18,356.18,-0.5030231303070645
1,COUNTRY_HLTH_RS_BDS1_HBEDT_TOTAL,576.33,576.33,0.19719970637831669
1,COUNTRY_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,80.66,80.66,1.1654877056095077
1,COUNTRY_SDG_11_60,40.32,40.32,-0.5256016878846416
1,COUNTRY_SDG_17_60_VHCN_FX_TOTAL,62.92,62.92,-0.1958416664439736
1,COUNTRY_TRNG_LFSE_01_T_Y25-74,14.31,14.31,0.6593290990315848
1,WHO_NO2,36.47,36.47,0.8938440615166428
1,WHO_PM10,23.5,23.5,0.2854987867191514
1,WHO_PM25,13.73,13.73,0.15108288822102411
2,URB_CEDUC_TE1026V,182047.41222222222,193197.67,0.8413573499446512
2,URB_CLMA_EC1010V,118744.59,104932.945,0.6047354319741673
